Type_H,Type_L,Type_M,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),TWF,HDF,PWF,OSF,RNF
0.0,1.0,0.0,0.3958803,-0.24623038,0.54541594,-0.49971116,0.55641687,-0.039450478,-0.072020546,-0.049016424,-0.063038334,-0.04756777
0.0,0.0,1.0,1.4698555,1.5586048,1.7203082,-1.3230277,1.4944327,-0.039450478,-0.072020546,-0.049016424,-0.063038334,-0.04756777
0.0,1.0,0.0,-0.30220363,-1.0403578,2.051873,-1.6288309,-1.2414467,-0.039450478,-0.072020546,-0.049016424,-0.063038334,-0.04756777
0.0,1.0,0.0,0.61067533,0.6922839,0.026445096,0.46474534,1.4475319,-0.039450478,-0.072020546,-0.049016424,-0.063038334,-0.04756777
0.0,0.0,1.0,-1.0002875,-0.67939085,0.8697727,-0.5820428,-1.1007444,-0.039450478,-0.072020546,-0.049016424,-0.063038334,-0.04756777
0.0,0.0,1.0,-0.7854925,-0.75158423,-0.6583081,0.20598872,-0.6161029,-0.039450478,-0.072020546,-0.049016424,-0.063038334,-0.04756777
0.0,1.0,0.0,-0.14110734,0.7644773,-0.7736349,0.30008203,0.80655444,-0.039450478,-0.072020546,-0.049016424,-0.063038334,-0.04756777
0.0,1.0,0.0,-0.6243962,0.11473666,0.63911897,-0.26447785,-0.5848357,-0.039450478,-0.072020546,-0.049016424,-0.063038334,-0.04756777
0.0,1.0,0.0,-1.1613839,-0.8237777,0.41567323,-0.60556614,-1.42905,-0.039450478,-0.072020546,-0.049016424,-0.063038334,-0.04756777
0.0,1.0,0.0,0.34218153,1.7029916,-0.52856535,1.5232952,-0.10019418,-0.039450478,-0.072020546,-0.049016424,-0.063038334,-0.04756777
0.0,1.0,0.0,0.61067533,0.62009054,-0.80967456,0.86464196,0.5407833,-0.039450478,-0.072020546,-0.049016424,-0.063038334,-0.04756777
0.0,1.0,0.0,0.87916917,0.62009054,-0.6366843,0.3824137,0.96289045,-0.039450478,-0.072020546,-0.049016424,-0.063038334,-0.04756777
0.0,0.0,1.0,0.8254704,0.5478971,0.9995154,0.06484875,0.74402004,-0.039450478,-0.072020546,-0.049016424,-0.063038334,-0.04756777
0.0,1.0,0.0,-1.4835764,-1.1125513,-0.362783,0.40593702,1.5569671,-0.039450478,-0.072020546,-0.049016424,-0.063038334,-0.04756777
